id,order_id,payment_date,method,amount,status
1,89,2025-05-04 14:46:03,against,90.34,who
2,70,2024-11-16 23:22:32,look,1.2,trade
3,137,2024-08-18 09:53:56,enjoy,98.05,ask
4,92,2024-10-24 19:43:44,teacher,79.34,American
5,218,2024-09-09 19:57:38,side,68.63,will
6,245,2025-01-23 10:59:12,daughter,33.51,authority
7,295,2024-12-09 21:54:36,suffer,98.12,camera
8,80,2024-12-01 08:46:49,which,94.07,hope
9,281,2024-08-31 18:19:47,network,57.14,west
10,37,2025-03-05 08:15:54,do,82.6,suggest
11,34,2025-06-08 15:18:20,ok,29.17,pick
12,195,2024-07-25 12:04:47,outside,44.22,now
13,107,2024-12-08 03:51:56,message,33.61,process
14,120,2025-06-12 08:37:49,budget,44.1,support
15,45,2024-12-23 00:02:52,but,47.06,energy
16,111,2025-05-23 14:15:23,great,2.33,at
17,179,2024-12-25 22:23:32,raise,82.28,less
18,34,2024-07-15 02:43:19,teach,11.04,them
19,117,2025-06-12 11:27:36,full,73.47,magazine
20,182,2024-10-10 05:28:20,record,14.64,play
21,247,2025-01-14 13:21:36,plant,14.85,realize
22,116,2024-11-06 10:08:56,have,14.64,enjoy
23,236,2025-06-16 05:21:24,company,67.06,performance
24,101,2025-03-20 01:33:29,rich,8.49,few
25,138,2024-11-09 23:51:19,lead,88.72,possible
26,85,2025-03-29 16:30:25,own,57.82,relationship
27,12,2025-05-01 04:07:18,contain,16.31,traditional
28,267,2024-08-19 09:45:34,instead,63.89,notice
29,137,2025-01-17 07:18:18,three,50.94,put
30,153,2024-11-30 20:08:27,positive,28.88,country
31,132,2024-09-20 06:17:45,heart,73.97,leg
32,227,2024-12-11 19:14:33,service,95.61,interesting
33,33,2025-01-28 12:19:33,majority,49.57,then
34,111,2025-05-19 13:05:31,herself,19.5,reason
35,115,2025-02-26 11:17:21,cover,71.92,assume
36,154,2024-08-25 07:55:09,one,7.21,teacher
37,244,2025-03-09 23:16:56,plant,17.85,attack
38,127,2025-03-02 14:33:03,street,74.3,not
39,215,2024-08-13 21:22:53,word,58.59,option
40,24,2024-12-11 17:37:05,them,28.11,present
41,229,2025-06-28 07:47:08,middle,36.68,radio
42,38,2025-03-30 02:22:46,traditional,45.66,effort
43,191,2024-08-04 19:35:17,hotel,81.14,page
44,86,2024-11-22 07:09:41,off,27.71,simply
45,234,2024-10-28 22:43:15,daughter,25.5,safe
46,62,2024-09-11 12:22:20,himself,90.0,decision
47,115,2025-03-30 16:38:38,hard,63.45,front
48,266,2025-01-10 19:53:41,job,28.67,every
49,112,2025-06-18 23:01:37,bring,67.21,letter
50,45,2024-11-29 00:32:16,writer,15.42,yeah
51,105,2024-11-28 12:04:25,society,94.6,local
52,136,2025-04-18 16:36:36,many,21.3,finally
53,8,2025-01-01 02:28:06,picture,7.59,include
54,52,2025-01-18 18:09:41,article,10.8,bag
55,78,2025-01-08 23:11:59,fill,94.0,wife
56,47,2025-03-30 17:28:35,difficult,40.84,action
57,292,2024-12-28 11:52:35,piece,22.05,nation
58,143,2024-10-07 14:32:15,road,48.46,financial
59,91,2024-10-21 21:23:59,democratic,79.5,check
60,144,2024-12-11 08:42:15,above,8.41,man
61,48,2024-07-03 02:46:11,address,62.14,analysis
62,31,2025-01-30 12:28:37,happen,49.47,color
63,114,2024-12-23 22:06:45,leader,82.87,together
64,255,2025-01-09 22:36:56,public,53.69,reduce
65,52,2025-03-26 15:04:28,since,85.31,theory
66,17,2025-01-23 20:43:31,tell,97.17,along
67,262,2024-12-16 09:19:44,leave,89.64,major
68,41,2025-03-06 17:05:53,great,88.74,individual
69,246,2025-01-13 08:56:17,skill,84.73,southern
70,220,2024-10-18 20:33:46,yard,72.41,back
71,136,2025-01-04 17:00:46,later,52.71,arm
72,127,2024-09-07 13:24:22,fall,25.83,production
73,76,2024-11-13 06:06:37,across,81.29,reveal
74,250,2024-08-04 21:27:37,wind,16.52,card
75,109,2024-12-24 17:31:46,bit,80.92,drop
76,6,2025-01-02 13:01:45,friend,4.19,eat
77,78,2025-06-25 17:22:40,almost,93.87,ground
78,238,2025-02-12 13:43:05,author,99.47,although
79,247,2024-12-19 15:34:39,others,5.11,station
80,15,2025-03-12 19:13:56,discussion,88.22,million
81,212,2025-03-26 20:45:44,care,44.75,card
82,31,2025-02-10 01:49:43,former,93.64,information
83,64,2025-06-11 00:51:02,sense,44.56,position
84,213,2024-10-30 06:21:29,worker,92.96,already
85,207,2024-10-12 14:28:22,arm,90.35,image
