id,product_id,customer_id,rating,review_text,review_date
1,7,89,179,Expert maintain church main themselves.,2024-07-16
2,23,92,53,Wrong south item during.,2024-07-16
3,6,43,829,Past mind deep military.,2025-03-08
4,25,98,572,Change green win spring.,2025-01-19
5,47,30,389,Century house evidence point suddenly.,2025-05-20
6,47,64,712,Its result worker short will material serve.,2025-02-27
7,43,34,543,Serve need pay he collection read poor.,2024-08-23
8,7,35,762,Prepare night tend budget education.,2025-06-19
9,30,80,269,Practice all score sense fear hotel very.,2025-04-14
10,5,90,336,Finally close finally arm grow which list.,2024-10-15
11,47,43,663,Western here base matter mouth these within.,2025-05-30
12,4,25,729,Gas buy left actually recognize.,2024-10-01
13,30,99,810,Knowledge defense effect walk company.,2024-07-24
14,27,45,67,Nothing hand owner its build.,2025-04-12
15,38,47,21,Reflect skill charge middle involve.,2025-05-05
16,10,40,860,Kitchen condition capital after.,2024-09-18
17,19,61,78,Buy paper executive north magazine the.,2025-06-24
18,48,31,829,From who trouble sense our within third.,2024-09-15
19,6,70,282,Sell especially wall maintain suffer appear.,2024-08-31
20,50,9,193,Pretty since lose expect plan parent science.,2024-09-12
21,48,27,379,Book since town lawyer involve sometimes easy.,2025-04-28
22,19,98,964,Everybody any war natural water.,2025-01-22
23,9,73,657,Democrat year our management method take try.,2025-03-27
24,33,76,563,Final play town body.,2025-04-28
25,2,38,87,Bring save find ten look.,2025-04-03
26,42,83,270,Rise Mrs type evening. Car former by town.,2024-09-15
27,13,12,884,Red own second front century technology.,2025-06-10
28,25,28,594,Its continue suddenly. Language address animal.,2025-02-06
29,5,6,930,You exist next conference.,2024-12-01
30,45,49,40,Rather response position ok energy.,2024-09-22
31,50,11,5,Class page several.,2024-10-19
32,43,97,355,Key without some myself tell east.,2024-11-25
33,17,100,319,Moment explain source the though seat will.,2024-10-12
34,46,63,17,Student recent tend leg.,2024-11-26
35,29,53,88,Unit drive without also sound by against.,2025-06-10
36,43,12,26,Ago east budget challenge company.,2024-12-02
37,46,44,530,Study senior wear sit.,2025-03-22
38,44,66,529,Fine save book effect. Mention must onto.,2025-01-04
39,25,70,841,Hand moment item see program before evening hour.,2025-04-10
40,37,16,356,Floor a base other floor compare just accept.,2024-09-13
41,33,46,213,On power short floor his central five by.,2024-11-22
42,43,10,717,Carry he they hot.,2024-07-24
43,14,28,267,Pull example sea network control out.,2025-05-08
44,16,83,850,Republican before until deep professional.,2025-03-01
45,45,3,71,Heavy late high training play.,2025-06-07
46,26,38,818,Rock respond sort common since.,2025-05-15
47,47,83,601,Three not media who even condition identify.,2024-08-31
48,32,83,388,Her paper fear own material.,2025-06-08
49,22,15,89,World no key within my.,2025-02-17
50,16,81,573,Beautiful glass amount effect sit.,2025-03-10
51,22,16,484,Yes already prevent building who.,2025-01-10
52,32,72,965,Collection themselves could better share if.,2025-03-17
53,44,40,470,Better west let central there surface gun.,2024-07-01
54,12,47,434,Project tax argue green condition person.,2025-03-29
55,38,64,312,Item town decade interesting.,2025-03-05
56,27,43,704,List school friend watch question attack realize.,2024-10-03
57,27,94,557,Hot soldier road.,2025-01-31
58,1,81,120,Beautiful bag identify middle.,2025-04-06
59,9,32,348,Happy five visit off find responsibility.,2025-05-04
60,36,93,279,East rise either prepare whole heart education.,2025-01-17
61,48,58,658,Take a actually lose whatever new debate dinner.,2025-01-08
62,13,26,235,Brother can chair. Food customer rich size.,2024-10-12
63,35,57,431,Act these before system anyone position.,2024-07-15
64,10,33,723,Sell item sing design century official young.,2024-12-05
65,40,14,623,List energy morning difficult.,2024-09-09
66,19,44,93,Local easy read support field staff order.,2025-01-24
67,8,30,873,House which pass rest use.,2024-07-06
68,14,58,576,Case always bit hair piece.,2024-10-03
69,41,66,545,Day trip however marriage eight grow.,2024-08-15
70,47,31,119,Teach best other property hear.,2025-04-18
71,28,70,552,Evidence product happy.,2025-06-18
72,11,21,437,Bank happen and language. Dark these itself.,2024-12-11
73,43,65,739,Air truth white voice heavy trial feel.,2024-09-10
74,21,28,725,Tell represent really pass kitchen unit message.,2024-11-05
75,7,3,356,Measure performance my listen.,2024-10-11
76,23,66,749,Spring by impact recently themselves rest.,2025-06-10
